nifB,nifE,nifK,nifM,nifN,nifS,yield,yieldSD
7499.0,5591.0,3197.0,5907.0,6591.0,6243.0,470.6666666666667,24.583192089989723
4932.0,6633.0,3197.0,5907.0,6591.0,6243.0,466.3333333333333,4.725815626252609
7499.0,6633.0,3197.0,5907.0,6591.0,6243.0,469.6666666666667,57.812916665165176
4932.0,5591.0,5024.0,5907.0,6591.0,6243.0,458.6666666666667,13.279056191361391
7499.0,5591.0,5024.0,5907.0,6591.0,6243.0,448.0,20.952326839756964
4932.0,6633.0,5024.0,5907.0,6591.0,6243.0,467.3333333333333,19.087517736293876
7499.0,6633.0,5024.0,5907.0,6591.0,6243.0,455.0,14.0
4932.0,5591.0,3197.0,4719.0,4942.0,15100.0,460.3333333333333,12.013880860626733
7499.0,5591.0,3197.0,4719.0,4942.0,15100.0,426.6666666666667,15.275252316519467
4932.0,6633.0,3197.0,4719.0,4942.0,15100.0,437.3333333333333,18.823743871327334
7499.0,6633.0,3197.0,4719.0,4942.0,15100.0,470.0,20.074859899884732
4932.0,5591.0,5024.0,4719.0,4942.0,15100.0,446.0,29.103264421710495
7499.0,5591.0,5024.0,4719.0,4942.0,15100.0,467.6666666666667,34.07834111768548
4932.0,6633.0,5024.0,4719.0,4942.0,15100.0,435.0,12.529964086141668
7499.0,6633.0,5024.0,4719.0,4942.0,15100.0,471.6666666666667,14.6401275039985
4932.0,5591.0,3197.0,5907.0,4942.0,15100.0,439.3333333333333,25.026652459594615
7499.0,5591.0,3197.0,5907.0,4942.0,15100.0,460.6666666666667,3.7859388972001824
4932.0,6633.0,3197.0,5907.0,4942.0,15100.0,440.3333333333333,15.56705923844749
7499.0,6633.0,3197.0,5907.0,4942.0,15100.0,459.0,9.539392014169456
4932.0,5591.0,5024.0,5907.0,4942.0,15100.0,457.0,11.135528725660043
7499.0,5591.0,5024.0,5907.0,4942.0,15100.0,460.3333333333333,19.5021366350801
4932.0,6633.0,5024.0,5907.0,4942.0,15100.0,449.0,20.952326839756964
7499.0,6633.0,5024.0,5907.0,4942.0,15100.0,447.6666666666667,14.977761292440647
4932.0,5591.0,3197.0,4719.0,6591.0,15100.0,448.0,15.716233645501712
7499.0,5591.0,3197.0,4719.0,6591.0,15100.0,466.6666666666667,13.576941236277534
4932.0,6633.0,3197.0,4719.0,6591.0,15100.0,456.6666666666667,18.502252115170556
7499.0,6633.0,3197.0,4719.0,6591.0,15100.0,454.0,19.313207915827967
4932.0,5591.0,5024.0,4719.0,6591.0,15100.0,465.3333333333333,13.051181300301261
7499.0,5591.0,5024.0,4719.0,6591.0,15100.0,459.0,19.974984355438178
4932.0,6633.0,5024.0,4719.0,6591.0,15100.0,464.3333333333333,12.055427546683415
7499.0,6633.0,5024.0,4719.0,6591.0,15100.0,465.3333333333333,27.790885796126275
4932.0,5591.0,3197.0,5907.0,6591.0,15100.0,437.0,22.9128784747792
7499.0,5591.0,3197.0,5907.0,6591.0,15100.0,467.3333333333333,34.64582706955245
4932.0,6633.0,3197.0,5907.0,6591.0,15100.0,450.0,30.512292604784715
7499.0,6633.0,3197.0,5907.0,6591.0,15100.0,457.3333333333333,17.502380790433435
4932.0,5591.0,5024.0,5907.0,6591.0,15100.0,475.6666666666667,4.163331998932266
7499.0,5591.0,5024.0,5907.0,6591.0,15100.0,450.6666666666667,24.583192089989723
4932.0,6633.0,5024.0,5907.0,6591.0,15100.0,449.0,6.244997998398398
7499.0,6633.0,5024.0,5907.0,6591.0,15100.0,449.0,13.114877048604
