nifB,nifB,nifD,nifD,nifE,nifE,nifH,nifH,nifK,nifK,nifM,nifM,nifN,nifN,nifS,nifS,nifU,nifU
969,5088,840,871,840,5087,924,969,5125,856,5564,6397,5468,942,791,907,824,5645
6256,5088,840,871,840,5087,6132,5555,888,4997,871,838,815,6392,6737,7140,824,5645
969,888,5665,871,840,5087,924,969,5125,4997,871,838,815,6392,6737,907,824,5645
6256,888,5665,871,840,5087,6132,5555,888,856,5564,6397,5468,942,791,7140,824,5645
969,5088,5665,871,840,5087,6132,5555,888,856,5564,6397,815,6392,6737,907,6243,864
6256,5088,5665,871,840,5087,924,969,5125,4997,871,838,5468,942,791,7140,6243,864
969,888,840,6591,840,5087,924,5555,888,856,5564,838,815,6392,791,7140,824,5645
6256,888,840,6591,840,5087,6132,969,5125,4997,871,6397,5468,942,6737,907,824,5645
969,5088,840,6591,840,5087,6132,969,5125,4997,871,6397,815,6392,791,7140,6243,864
6256,5088,840,6591,840,5087,924,5555,888,856,5564,838,5468,942,6737,907,6243,864
969,888,5665,6591,840,5087,6132,969,5125,856,5564,838,5468,942,6737,7140,6243,864
6256,888,5665,6591,840,5087,924,5555,888,4997,871,6397,815,6392,791,907,6243,864
969,5088,5665,6591,840,5087,924,5555,888,4997,871,6397,5468,942,6737,7140,824,5645
6256,5088,5665,6591,840,5087,6132,969,5125,856,5564,838,815,6392,791,907,824,5645
969,888,840,871,6499,5087,6132,969,888,856,871,6397,815,942,6737,7140,824,864
6256,888,840,871,6499,5087,924,5555,5125,4997,5564,838,5468,6392,791,907,824,864
969,5088,840,871,6499,5087,924,5555,5125,4997,5564,838,815,942,6737,7140,6243,5645
6256,5088,840,871,6499,5087,6132,969,888,856,871,6397,5468,6392,791,907,6243,5645
969,888,5665,871,6499,5087,924,5555,5125,856,871,6397,5468,6392,791,7140,6243,5645
6256,888,5665,871,6499,5087,6132,969,888,4997,5564,838,815,942,6737,907,6243,5645
969,5088,5665,871,6499,5087,6132,969,888,4997,5564,838,5468,6392,791,7140,824,864
6256,5088,5665,871,6499,5087,924,5555,5125,856,871,6397,815,942,6737,907,824,864
969,888,840,6591,6499,5087,924,969,888,4997,5564,6397,5468,6392,6737,907,6243,5645
6256,888,840,6591,6499,5087,6132,5555,5125,856,871,838,815,942,791,7140,6243,5645
969,5088,840,6591,6499,5087,6132,5555,5125,856,871,838,5468,6392,6737,907,824,864
6256,5088,840,6591,6499,5087,924,969,888,4997,5564,6397,815,942,791,7140,824,864
969,888,5665,6591,6499,5087,6132,5555,5125,4997,5564,6397,815,942,791,907,824,864
6256,888,5665,6591,6499,5087,924,969,888,856,871,838,5468,6392,6737,7140,824,864
969,5088,5665,6591,6499,5087,924,969,888,856,871,838,815,942,791,907,6243,5645
6256,5088,5665,6591,6499,5087,6132,5555,5125,4997,5564,6397,5468,6392,6737,7140,6243,5645
