nifB,nifB,nifD,nifD,nifE,nifE,nifH,nifH,nifK,nifK,nifM,nifM,nifN,nifN,nifS,nifS,nifU,nifU
"t16, p22","t8, p25","t18, p38","t25, p18","t13, p7","t20, p11","t6, p24","t24, p9","t39, p16","t1, p5","t30, p44","t27, p16","t8, p36","t3, p10","t37, p24","t12, p2","t14, p26","t9, p1"
"t24, p9","t11, p31","t12, p21","t25, p18","t13, p7","t20, p11","t10, p11","t9, p22","t11, p31","t1, p5","t30, p44","t27, p16","t8, p36","t3, p10","t37, p24","t17, p1","t14, p26","t9, p1"
"t16, p22","t11, p31","t12, p21","t25, p18","t13, p7","t20, p11","t6, p24","t24, p9","t39, p16","t14, p23","t25, p18","t5, p7","t19, p15","t39, p44","t23, p20","t12, p2","t14, p26","t9, p1"
"t24, p9","t8, p25","t12, p21","t25, p18","t13, p7","t20, p11","t6, p24","t24, p9","t39, p16","t14, p23","t25, p18","t5, p7","t8, p36","t3, p10","t37, p24","t17, p1","t1, p6","t7, p23"
"t16, p22","t8, p25","t12, p21","t25, p18","t13, p7","t20, p11","t10, p11","t9, p22","t11, p31","t1, p5","t30, p44","t27, p16","t19, p15","t39, p44","t23, p20","t12, p2","t1, p6","t7, p23"
"t24, p9","t11, p31","t18, p38","t16, p36","t13, p7","t20, p11","t10, p11","t24, p9","t39, p16","t14, p23","t25, p18","t27, p16","t8, p36","t3, p10","t23, p20","t12, p2","t14, p26","t9, p1"
"t16, p22","t11, p31","t18, p38","t16, p36","t13, p7","t20, p11","t6, p24","t9, p22","t11, p31","t1, p5","t30, p44","t5, p7","t19, p15","t39, p44","t37, p24","t17, p1","t14, p26","t9, p1"
"t24, p9","t8, p25","t18, p38","t16, p36","t13, p7","t20, p11","t6, p24","t9, p22","t11, p31","t1, p5","t30, p44","t5, p7","t8, p36","t3, p10","t23, p20","t12, p2","t1, p6","t7, p23"
"t16, p22","t8, p25","t18, p38","t16, p36","t13, p7","t20, p11","t10, p11","t24, p9","t39, p16","t14, p23","t25, p18","t27, p16","t19, p15","t39, p44","t37, p24","t17, p1","t1, p6","t7, p23"
"t24, p9","t11, p31","t12, p21","t16, p36","t13, p7","t20, p11","t6, p24","t9, p22","t11, p31","t14, p23","t25, p18","t27, p16","t19, p15","t39, p44","t37, p24","t12, p2","t1, p6","t7, p23"
"t16, p22","t11, p31","t12, p21","t16, p36","t13, p7","t20, p11","t10, p11","t24, p9","t39, p16","t1, p5","t30, p44","t5, p7","t8, p36","t3, p10","t23, p20","t17, p1","t1, p6","t7, p23"
"t24, p9","t8, p25","t12, p21","t16, p36","t13, p7","t20, p11","t10, p11","t24, p9","t39, p16","t1, p5","t30, p44","t5, p7","t19, p15","t39, p44","t37, p24","t12, p2","t14, p26","t9, p1"
"t16, p22","t8, p25","t12, p21","t16, p36","t13, p7","t20, p11","t6, p24","t9, p22","t11, p31","t14, p23","t25, p18","t27, p16","t8, p36","t3, p10","t23, p20","t17, p1","t14, p26","t9, p1"
"t24, p9","t11, p31","t18, p38","t25, p18","t18, p38","t13, p2","t6, p24","t9, p22","t11, p31","t14, p23","t25, p18","t27, p16","t8, p36","t3, p10","t23, p20","t17, p1","t14, p26","t9, p1"
"t16, p22","t11, p31","t18, p38","t25, p18","t18, p38","t13, p2","t10, p11","t24, p9","t39, p16","t1, p5","t30, p44","t5, p7","t19, p15","t39, p44","t37, p24","t12, p2","t14, p26","t9, p1"
"t24, p9","t8, p25","t18, p38","t25, p18","t18, p38","t13, p2","t10, p11","t24, p9","t39, p16","t1, p5","t30, p44","t5, p7","t8, p36","t3, p10","t23, p20","t17, p1","t1, p6","t7, p23"
"t16, p22","t8, p25","t18, p38","t25, p18","t18, p38","t13, p2","t6, p24","t9, p22","t11, p31","t14, p23","t25, p18","t27, p16","t19, p15","t39, p44","t37, p24","t12, p2","t1, p6","t7, p23"
"t24, p9","t11, p31","t12, p21","t25, p18","t18, p38","t13, p2","t10, p11","t24, p9","t39, p16","t14, p23","t25, p18","t27, p16","t19, p15","t39, p44","t37, p24","t17, p1","t1, p6","t7, p23"
"t16, p22","t11, p31","t12, p21","t25, p18","t18, p38","t13, p2","t6, p24","t9, p22","t11, p31","t1, p5","t30, p44","t5, p7","t8, p36","t3, p10","t23, p20","t12, p2","t1, p6","t7, p23"
"t24, p9","t8, p25","t12, p21","t25, p18","t18, p38","t13, p2","t6, p24","t9, p22","t11, p31","t1, p5","t30, p44","t5, p7","t19, p15","t39, p44","t37, p24","t17, p1","t14, p26","t9, p1"
"t16, p22","t8, p25","t12, p21","t25, p18","t18, p38","t13, p2","t10, p11","t24, p9","t39, p16","t14, p23","t25, p18","t27, p16","t8, p36","t3, p10","t23, p20","t12, p2","t14, p26","t9, p1"
"t24, p9","t11, p31","t18, p38","t16, p36","t18, p38","t13, p2","t10, p11","t9, p22","t11, p31","t1, p5","t30, p44","t27, p16","t19, p15","t39, p44","t23, p20","t12, p2","t1, p6","t7, p23"
"t16, p22","t11, p31","t18, p38","t16, p36","t18, p38","t13, p2","t6, p24","t24, p9","t39, p16","t14, p23","t25, p18","t5, p7","t8, p36","t3, p10","t37, p24","t17, p1","t1, p6","t7, p23"
"t24, p9","t8, p25","t18, p38","t16, p36","t18, p38","t13, p2","t6, p24","t24, p9","t39, p16","t14, p23","t25, p18","t5, p7","t19, p15","t39, p44","t23, p20","t12, p2","t14, p26","t9, p1"
"t16, p22","t8, p25","t18, p38","t16, p36","t18, p38","t13, p2","t10, p11","t9, p22","t11, p31","t1, p5","t30, p44","t27, p16","t8, p36","t3, p10","t37, p24","t17, p1","t14, p26","t9, p1"
"t24, p9","t11, p31","t12, p21","t16, p36","t18, p38","t13, p2","t6, p24","t24, p9","t39, p16","t1, p5","t30, p44","t27, p16","t8, p36","t3, p10","t37, p24","t12, p2","t14, p26","t9, p1"
"t16, p22","t11, p31","t12, p21","t16, p36","t18, p38","t13, p2","t10, p11","t9, p22","t11, p31","t14, p23","t25, p18","t5, p7","t19, p15","t39, p44","t23, p20","t17, p1","t14, p26","t9, p1"
"t24, p9","t8, p25","t12, p21","t16, p36","t18, p38","t13, p2","t10, p11","t9, p22","t11, p31","t14, p23","t25, p18","t5, p7","t8, p36","t3, p10","t37, p24","t12, p2","t1, p6","t7, p23"
"t16, p22","t8, p25","t12, p21","t16, p36","t18, p38","t13, p2","t6, p24","t24, p9","t39, p16","t1, p5","t30, p44","t27, p16","t19, p15","t39, p44","t23, p20","t17, p1","t1, p6","t7, p23"
"t24, p9","t11, p31","t18, p38","t25, p18","t13, p7","t13, p2","t6, p24","t24, p9","t11, p31","t1, p5","t25, p18","t5, p7","t19, p15","t3, p10","t37, p24","t12, p2","t1, p6","t9, p1"
"t16, p22","t11, p31","t18, p38","t25, p18","t13, p7","t13, p2","t10, p11","t9, p22","t39, p16","t14, p23","t30, p44","t27, p16","t8, p36","t39, p44","t23, p20","t17, p1","t1, p6","t9, p1"
"t24, p9","t8, p25","t18, p38","t25, p18","t13, p7","t13, p2","t10, p11","t9, p22","t39, p16","t14, p23","t30, p44","t27, p16","t19, p15","t3, p10","t37, p24","t12, p2","t14, p26","t7, p23"
"t16, p22","t8, p25","t18, p38","t25, p18","t13, p7","t13, p2","t6, p24","t24, p9","t11, p31","t1, p5","t25, p18","t5, p7","t8, p36","t39, p44","t23, p20","t17, p1","t14, p26","t7, p23"
"t24, p9","t11, p31","t12, p21","t25, p18","t13, p7","t13, p2","t10, p11","t9, p22","t39, p16","t1, p5","t25, p18","t5, p7","t8, p36","t39, p44","t23, p20","t12, p2","t14, p26","t7, p23"
"t16, p22","t11, p31","t12, p21","t25, p18","t13, p7","t13, p2","t6, p24","t24, p9","t11, p31","t14, p23","t30, p44","t27, p16","t19, p15","t3, p10","t37, p24","t17, p1","t14, p26","t7, p23"
"t24, p9","t8, p25","t12, p21","t25, p18","t13, p7","t13, p2","t6, p24","t24, p9","t11, p31","t14, p23","t30, p44","t27, p16","t8, p36","t39, p44","t23, p20","t12, p2","t1, p6","t9, p1"
"t16, p22","t8, p25","t12, p21","t25, p18","t13, p7","t13, p2","t10, p11","t9, p22","t39, p16","t1, p5","t25, p18","t5, p7","t19, p15","t3, p10","t37, p24","t17, p1","t1, p6","t9, p1"
"t24, p9","t11, p31","t18, p38","t16, p36","t13, p7","t13, p2","t10, p11","t24, p9","t11, p31","t14, p23","t30, p44","t5, p7","t8, p36","t39, p44","t37, p24","t17, p1","t14, p26","t7, p23"
"t16, p22","t11, p31","t18, p38","t16, p36","t13, p7","t13, p2","t6, p24","t9, p22","t39, p16","t1, p5","t25, p18","t27, p16","t19, p15","t3, p10","t23, p20","t12, p2","t14, p26","t7, p23"
"t24, p9","t8, p25","t18, p38","t16, p36","t13, p7","t13, p2","t6, p24","t9, p22","t39, p16","t1, p5","t25, p18","t27, p16","t8, p36","t39, p44","t37, p24","t17, p1","t1, p6","t9, p1"
"t16, p22","t8, p25","t18, p38","t16, p36","t13, p7","t13, p2","t10, p11","t24, p9","t11, p31","t14, p23","t30, p44","t5, p7","t19, p15","t3, p10","t23, p20","t12, p2","t1, p6","t9, p1"
"t24, p9","t11, p31","t12, p21","t16, p36","t13, p7","t13, p2","t6, p24","t9, p22","t39, p16","t14, p23","t30, p44","t5, p7","t19, p15","t3, p10","t23, p20","t17, p1","t1, p6","t9, p1"
"t16, p22","t11, p31","t12, p21","t16, p36","t13, p7","t13, p2","t10, p11","t24, p9","t11, p31","t1, p5","t25, p18","t27, p16","t8, p36","t39, p44","t37, p24","t12, p2","t1, p6","t9, p1"
"t24, p9","t8, p25","t12, p21","t16, p36","t13, p7","t13, p2","t10, p11","t24, p9","t11, p31","t1, p5","t25, p18","t27, p16","t19, p15","t3, p10","t23, p20","t17, p1","t14, p26","t7, p23"
"t16, p22","t8, p25","t12, p21","t16, p36","t13, p7","t13, p2","t6, p24","t9, p22","t39, p16","t14, p23","t30, p44","t5, p7","t8, p36","t39, p44","t37, p24","t12, p2","t14, p26","t7, p23"
